"","compound_and_ion","Tissue","Genotype","n","mean_value","std_deviation"
"124","Lactate_2","HP","Mutant",5,0.0315612459333024,0.0149595665108291
"125","Lactate_3","HP","Control",7,0.306420356825088,0.0430430785243002
"126","Lactate_3","HP","Mutant",5,0.351593595579903,0.125044575089938
"127","Ala_0","HP","Control",7,0.603349106588629,0.0590213801773805
"128","Ala_0","HP","Mutant",5,0.650761671509825,0.153767697192802
"129","Ala_2","HP","Control",7,0.0393829180496545,0.00788105912039929
"130","Ala_2","HP","Mutant",5,0.0257772145356167,0.0128336685038355
"131","Ala_3","HP","Control",7,0.323993649337248,0.0451504319441604
"132","Ala_3","HP","Mutant",5,0.309490622122061,0.135202557433798
"133","Citrate_0","HP","Control",7,0.452592063971786,0.064946218375776
"134","Citrate_0","HP","Mutant",5,0.702196131348843,0.166375244274558
"135","Citrate_2","HP","Control",7,0.257738299173339,0.0172938382775251
"136","Citrate_2","HP","Mutant",5,0.145522527265789,0.0578321612181681
"137","Citrate_3","HP","Control",7,0.0922001309948769,0.019485994641953
"138","Citrate_3","HP","Mutant",5,0.0521673949777685,0.0383603845614496
"139","Glu_0","HP","Control",7,0.553826964429642,0.0657081575853519
"140","Glu_0","HP","Mutant",5,0.823202191763797,0.125988680204555
"141","Glu_2","HP","Control",7,0.234539811629021,0.0224959100878834
"142","Glu_2","HP","Mutant",5,0.0979938118025129,0.0541617751111093
"143","Glu_3","HP","Control",7,0.0677311457576207,0.0189099729256558
"144","Glu_3","HP","Mutant",5,0.0284055448977691,0.025737923152842
"145","GABA_0","HP","Control",7,0.577631055880942,0.0579268400090856
"146","GABA_0","HP","Mutant",5,0.832284676461393,0.103913427430778
"147","GABA_2","HP","Control",7,0.19858979138084,0.0210654299531841
"148","GABA_2","HP","Mutant",5,0.0906070559926322,0.0497479959386305
"149","GABA_3","HP","Control",7,0.0770704678661294,0.0207608302457844
"150","GABA_3","HP","Mutant",5,0.0236193575061889,0.0202814998739567
"151","Succinate_0","HP","Control",7,0.527184150890521,0.0683439048812894
"152","Succinate_0","HP","Mutant",5,0.75888275200083,0.178344819279964
